doc_id|sent_num|sent_str
0|0|The southern cone of South America has been the setting of major climatic, tectonic and volcanic activity during the past several million years (; ; ).
0|1|The Quaternary period was marked by a complex sequence of glacial advances and retreats that dramatically altered Patagonian landscapes (; ; ).
0|2|A “Great Patagonian Glaciation” (GPG) occurred approximately 1 MYA, followed by three major post-GPG glaciations during the Early and Middle Pleistocene.
0|3|The most recent of these events was the Last Glacial Maximum (LGM), which began ∼20,000–18,000 YA and finished 14,000–10,000 YA (; ).
0|4|During the LGM, an ice sheet 1,800 km long built up along the axis of the southern Andes ().
0|5|In Southern Chile (south of 39°S) the ice sheet extended toward lowlands covering the eastern half of Los Ríos and Los Lagos Regions, including the south-east of Chiloe Island ().
0|6|Biotic evidence, including pollen records and beetle remains, indicate that the vegetation type during the last millennia changed from Subantarctic parkland to woodland and Patagonian evergreen forests about 14,000–13,000 YA (; ).
0|7|Climatic events of this magnitude affected local abundance and distributional patterns of the local biota leaving traceable genetic footprints in several groups of organisms, which in turn allows identifying refugial areas, i.e., those of population persistence during Pleistocene glaciations, e.g., in trees (; ; ), fishes (), crustaceans (), frogs (), lizards (; ).
0|8|Map of south-central Chile and neighboring areas of Argentina depicting in pink the known distribution of Abrothrix manni (taken from ).
0|9|Collecting localities of the specimens analyzed here are depicted with dots and numbered as in .
0|10|The dotted line indicates the area covered by the ice sheet during the LGM (sensu ).
0|11|The tree to the left depicts the genealogical relationships, reconstructed via Bayesian inference, of 22 Cytb haplotypic classes of Abrothrix manni.
0|12|Support values correspond to posterior probability and bootstrap proportion in a Maximum Likelihood analysis; number of specimens sharing each haplotype is given in parenthesis.
0|13|Patagonian species have been differentially impacted by past climatic dynamics.
0|14|Different demographic processes and trajectories (e.g., demographic or range expansion or stability, fragmentation, secondary contact) have been recorded in co-distributed species (; ).
0|15|A pattern of north-to-south postglacial colonization was commonly observed in Patagonian rodents (e.g., Eligmodontia morgani and Reithrodon auritus), although more complex processes were also reported, such as within-region differentiation and population persistence at putative refugia (; ).
0|16|Given this rather species-specific response to climatic oscillation in southern Chile and Argentina, it is of interest to explore phylogeographical patterns in additional lineages before any generalization be advanced about the effect of glaciations on the local fauna.
0|17|In this study, we focus on the recently described sigmodontine species Abrothrix manni ().
0|18|Mann’s soft-haired mouse mainly distributes in the humid forests of north-western Patagonia, in the Chilean Regions of Los Ríos and Los Lagos, including northern Chiloe Island.
0|19|From west to east, this species is present in the Pacific coast and reaches the Andes; it is also known from a single locality in Neuquén, Argentina (; ).
0|20|Because A. manni was only recently described, information on its natural history is scarce as no ecological study has focused on it.
0|21|Much of the available information on the life history of the species has been reported in the literature under A. sanborni or of purported hybrids between that species and A. hirta (referred earlier as A. longipilis; see ).
0|22|Mann’s soft-haired mouse is active both day and night ().
0|23|It feeds on fungi, moderate amounts of mature arthropods and larvae, plant foliage, seeds, and fruits ().
0|24|A. manni breeds through the spring and summer ().
0|25|Recording localities of A. manni, all laying in the temperate Valdivian rainforest, suggest that the species is a forest specialist.
0|26|Compared with most Patagonian mouse species, the geographic range of A. manni is noticeably smaller (e.g., ; ) and lies in an area that was highly impacted during the Quaternary period.
0|27|Here, historical environment diversity ranges from more or less continuous ice cap to putative refugial areas for local biota.
0|28|A lowland glacial refugium has been proposed along the coast north of the latitude 42°S (; ; ).
0|29|Other co-distributed (at least partially) sigmodontine species in this area exhibit contrasting genetic footprints.
0|30|For instance, within the area of sympatry with Abrothrix manni, populations of the co-generic A. olivacea belong to two distinct intraspecific lineages (), while populations of Oligoryzomys longicaudatus are genetically homogeneous, without distinct lineages (; ).
0|31|This is also the case of continental populations of the pudu deer Pudu puda ().
0|32|Therefore, given that A. manni occurs in a geographic area that was directly affected by Pleistocene glaciations, and considering that the impact of glaciations was differential over species, we address here the phylogeographic pattern of A. manni.
0|33|We aim to assess the species genetic structure, testing for the existence of intraspecific lineages, and inferring past demographic signals.
0|34|Theory predicts distinct patterns of genetic variation under distinct demographic and historical scenarios.
0|35|The literature in this regard is vast (e.g., ; ; ; ; ) and for a general review we refer the reader to  and .
0|36|In this study, we focus on the phylogeographical pattern as revealed by a Cytb gene genealogy and on genetic signals of demographic stability/expansion.
0|37|The main expected signals of the persistence of A. manni in Valdivian forest during LGM are: (a) presence of well-supported allopatric clades, (b) multimodal mismatch distributions, (c) significant values of demographic indexes (F, D, hr, and SSD) (d) signals of demographic stability in absolute time calibrated skyline plots.
0|38|Therewith, we hope to contribute filling the gap in the phylogeographic knowledge of one of the least studied areas of southern South America ().
0|39|Analyses were based on the first 801 bp of the mitochondrial gene Cytochrome-b (Cytb) from 49 individuals of Abrothrix manni collected at 10 localities along most part of its known distributional range (see  and ).
0|40|Fieldwork and procedures with animals were were approved by the Servicio Agricola Ganadero (Permits number 1231/2017, 5611/2013, 2164, 5165) and the Comité de Bioética of the Universidad Austral de Chile (Nb.
0|41|311/2018).
0|42|Nineteen sequences were downloaded from GenBank, while 30 were newly generated from specimens housed at the Colección de Mamíferos de la Universidad Austral de Chile (UACH).
0|43|Unpublished sequences were generated following the protocol outlined by ; external DNA sequencing service was provided by Macrogen (Seoul, South Korea).
0|44|All new DNA sequences were deposited at GenBank (see accession numbers in ).
0|45|Locality numbers are those depicted in .
0|46|Sequences were aligned using Clustal W () implemented in Mega 7 () to establish character primary homology.
0|47|Haplotype and nucleotide diversity indexes were calculated using DNAsp ().
0|48|Genetic distances (p-distances) were calculated using Mega 7.
0|49|Genealogical analyses were based on a matrix containing one representative of each allelic class to speed up searches.
0|50|Haplotype selection was conducted using DNAsp following a visual corroboration of the absence of segregating sites within haplotype classes.
0|51|This was conducted observing branch length in a neighbor-joining tree constructed with Mega 7.
0|52|Sequences of Cytb from Abrothrix andina (GenBank accession: AF108671), A. jelskii (M35714), A. lanosa (EU683432), A. longipilis (HM167785), A. sanborni (KP666004), and A. olivacea (HM167800) were used to conform the outgroup.
0|53|Best-fit model of nucleotide substitution for this dataset was determined based on maximum likelihood estimates of model parameters and Bayesian Information Criterion (BIC) using jModeltest2 ().
0|54|The selected model was set in genealogical reconstruction using two approaches, maximum likelihood (ML) and Bayesian inference (BI).
0|55|The ML tree was inferred using IQ-TREE () implemented in the IQ-TREE web server (); branch supports were calculated with the ultrafast bootstrap ().
0|56|The BI analysis was conducted using MrBayes (); four independent runs were conducted, each consisting of 20 × 106 MCMC iterations, where chains were sampled every 1,000 generations.
0|57|Convergence among chains was corroborated by inspecting values (<0.01) of the average standard deviation of split frequencies.
0|58|The first 25% of the samples were discarded as burn-in; remaining trees, sampled well after stationarity was reached, were used to compute a consensus tree with posterior probability (PP) estimates for each clade.
0|59|The spatial partition of the observed genetic variation was evaluated using analysis of molecular variance (AMOVA) implemented in Arlequin 3.5 ().
0|60|Several haplotype arrangements were set a priori to test specific geographic and genealogical groupings.
0|61|In a geographic arrangement, sequences were allocated in two groups, one containing northern sampling sites (localities numbers 1 to 6) and another group containing southern sites (localities 7 to 10).
0|62|In a second arrangement, haplotypes were grouped according to the results of the genealogical analysis (see below).
0|63|The amount of genetic variation attributable to differentiation among groups (FCT), among localities within groups (FSC), and among localities relative to the total sample (FST) was estimated.
0|64|Historical demography was assessed on the basis of the distribution of pair-wise differences and related tests using Arlequin 3.5.
0|65|A multimodal mismatch distribution indicates that samples were drawn from a population in demographic equilibrium, while a unimodal curve is expected for populations that experienced a recent demographic expansion ().
0|66|The smoothness of the mismatch distribution was quantified using the raggedness index (hr); a significant p-value indicates that the sample is drawn from a recently expanded population ().
